disruption_id,date_key,station_id,line_group,started_at,ended_at,disruption_reason,owner_group,service_impact,delay_minutes,passengers_estimated_impacted
DIS00001,20250102,ST007,Red,2025-01-02 22:09:00,2025-01-02 23:01:00,Police attendance,External,Minor delay,52,861
DIS00002,20250103,ST003,Green / Red,2025-01-03 05:54:00,2025-01-03 06:40:00,Track obstruction,Infrastructure,Minor delay,46,1226
DIS00003,20250103,ST016,Green,2025-01-03 12:21:00,2025-01-03 12:41:00,Planned engineering overrun,Engineering,Minor delay,20,165
DIS00004,20250105,ST001,Blue / Red,2025-01-05 08:04:00,2025-01-05 09:20:00,Power supply restriction,Infrastructure,Moderate delay,76,3644
DIS00005,20250108,ST002,Blue,2025-01-08 16:02:00,2025-01-08 17:04:00,Planned engineering overrun,Engineering,Severe delay,62,1898
DIS00006,20250109,ST006,Silver,2025-01-09 22:30:00,2025-01-10 03:29:00,Police attendance,External,Minor delay,299,7646
DIS00007,20250110,ST001,Blue / Red,2025-01-10 14:42:00,2025-01-10 15:21:00,Police attendance,External,Severe delay,39,2196
DIS00008,20250111,ST001,Blue / Red,2025-01-11 18:50:00,2025-01-11 19:35:00,Track obstruction,Infrastructure,Minor delay,45,1667
DIS00009,20250113,ST008,Red,2025-01-13 16:23:00,2025-01-13 16:31:00,Rolling stock fault,Fleet,Minor delay,8,244
DIS00010,20250113,ST006,Silver,2025-01-13 17:55:00,2025-01-13 19:20:00,Severe weather,Weather,Moderate delay,85,2813
DIS00011,20250121,ST006,Silver,2025-01-21 18:29:00,2025-01-21 18:50:00,Police attendance,External,Minor delay,21,506
DIS00012,20250121,ST004,Green,2025-01-21 05:41:00,2025-01-21 06:38:00,Rolling stock fault,Fleet,Moderate delay,57,757
DIS00013,20250122,ST008,Red,2025-01-22 11:57:00,2025-01-22 12:18:00,Track obstruction,Infrastructure,Minor delay,21,442
DIS00014,20250122,ST016,Green,2025-01-22 18:24:00,2025-01-22 22:15:00,Severe weather,Weather,Severe delay,231,1562
DIS00015,20250122,ST008,Red,2025-01-22 09:35:00,2025-01-22 09:53:00,Planned engineering overrun,Engineering,Minor delay,18,423
DIS00016,20250123,ST007,Red,2025-01-23 20:07:00,2025-01-23 20:15:00,Signal failure,Infrastructure,Moderate delay,8,194
DIS00017,20250123,ST009,Blue,2025-01-23 09:13:00,2025-01-23 09:43:00,Power supply restriction,Infrastructure,Moderate delay,30,591
DIS00018,20250125,ST002,Blue,2025-01-25 05:16:00,2025-01-25 05:24:00,Signal failure,Infrastructure,Moderate delay,8,326
DIS00019,20250127,ST006,Silver,2025-01-27 15:27:00,2025-01-27 15:35:00,Planned engineering overrun,Engineering,Severe delay,8,175
DIS00020,20250128,ST005,Green,2025-01-28 11:00:00,2025-01-28 11:08:00,Power supply restriction,Infrastructure,Severe delay,8,89
DIS00021,20250131,ST002,Blue,2025-01-31 14:46:00,2025-01-31 15:34:00,Power supply restriction,Infrastructure,Minor delay,48,1384
DIS00022,20250204,ST006,Silver,2025-02-04 13:53:00,2025-02-04 14:26:00,Power supply restriction,Infrastructure,Minor delay,33,1104
DIS00023,20250210,ST007,Red,2025-02-10 19:48:00,2025-02-10 20:03:00,Signal failure,Infrastructure,Minor delay,15,348
DIS00024,20250214,ST003,Green / Red,2025-02-14 08:41:00,2025-02-14 08:49:00,Track obstruction,Infrastructure,Minor delay,8,167
DIS00025,20250215,ST010,Blue / Gold,2025-02-15 19:16:00,2025-02-15 19:58:00,Severe weather,Weather,Severe delay,42,1291
DIS00026,20250215,ST014,Gold,2025-02-15 15:54:00,2025-02-15 16:02:00,Rolling stock fault,Fleet,Moderate delay,8,92
DIS00027,20250216,ST016,Green,2025-02-16 13:11:00,2025-02-16 13:31:00,Severe weather,Weather,Moderate delay,20,121
DIS00028,20250216,ST010,Blue / Gold,2025-02-16 18:50:00,2025-02-16 20:01:00,Rolling stock fault,Fleet,Moderate delay,71,2330
DIS00029,20250216,ST006,Silver,2025-02-16 17:57:00,2025-02-16 19:28:00,Planned engineering overrun,Engineering,Minor delay,91,2818
DIS00030,20250218,ST007,Red,2025-02-18 10:47:00,2025-02-18 11:07:00,Power supply restriction,Infrastructure,Moderate delay,20,496
DIS00031,20250218,ST013,Silver,2025-02-18 05:06:00,2025-02-18 05:58:00,Power supply restriction,Infrastructure,Severe delay,52,686
DIS00032,20250222,ST001,Blue / Red,2025-02-22 08:15:00,2025-02-22 08:52:00,Staff shortage,Operations,Minor delay,37,2365
DIS00033,20250222,ST003,Green / Red,2025-02-22 06:46:00,2025-02-22 08:17:00,Severe weather,Weather,Moderate delay,91,2473
DIS00034,20250225,ST001,Blue / Red,2025-02-25 17:34:00,2025-02-25 22:16:00,Police attendance,External,Moderate delay,282,17091
DIS00035,20250227,ST001,Blue / Red,2025-02-27 09:14:00,2025-02-27 10:11:00,Track obstruction,Infrastructure,Moderate delay,57,3478
DIS00036,20250227,ST009,Blue,2025-02-27 19:21:00,2025-02-27 20:00:00,Rolling stock fault,Fleet,Moderate delay,39,776
DIS00037,20250228,ST016,Green,2025-02-28 21:07:00,2025-02-28 22:43:00,Police attendance,External,Minor delay,96,831
DIS00038,20250303,ST007,Red,2025-03-03 20:15:00,2025-03-04 00:17:00,Severe weather,Weather,Moderate delay,242,4718
DIS00039,20250305,ST003,Green / Red,2025-03-05 11:36:00,2025-03-05 11:44:00,Signal failure,Infrastructure,Severe delay,8,269
DIS00040,20250305,ST010,Blue / Gold,2025-03-05 05:59:00,2025-03-05 07:51:00,Planned engineering overrun,Engineering,Minor delay,112,3431
DIS00041,20250305,ST004,Green,2025-03-05 20:27:00,2025-03-05 20:59:00,Rolling stock fault,Fleet,Moderate delay,32,383
DIS00042,20250306,ST010,Blue / Gold,2025-03-06 17:04:00,2025-03-06 17:12:00,Planned engineering overrun,Engineering,Minor delay,8,343
DIS00043,20250306,ST010,Blue / Gold,2025-03-06 22:17:00,2025-03-06 23:33:00,Track obstruction,Infrastructure,Minor delay,76,3518
DIS00044,20250308,ST010,Blue / Gold,2025-03-08 22:44:00,2025-03-08 23:03:00,Police attendance,External,Minor delay,19,615
DIS00045,20250308,ST007,Red,2025-03-08 21:14:00,2025-03-08 21:59:00,Track obstruction,Infrastructure,Minor delay,45,982
DIS00046,20250309,ST009,Blue,2025-03-09 10:28:00,2025-03-09 11:31:00,Severe weather,Weather,Moderate delay,63,1678
DIS00047,20250310,ST003,Green / Red,2025-03-10 17:45:00,2025-03-10 18:29:00,Severe weather,Weather,Severe delay,44,1409
DIS00048,20250313,ST015,Silver,2025-03-13 10:41:00,2025-03-13 11:57:00,Rolling stock fault,Fleet,Minor delay,76,860
DIS00049,20250314,ST002,Blue,2025-03-14 22:55:00,2025-03-15 00:14:00,Signal failure,Infrastructure,Moderate delay,79,2805
DIS00050,20250315,ST003,Green / Red,2025-03-15 22:34:00,2025-03-15 22:42:00,Track obstruction,Infrastructure,Moderate delay,8,168
DIS00051,20250318,ST014,Gold,2025-03-18 16:53:00,2025-03-18 17:48:00,Power supply restriction,Infrastructure,Moderate delay,55,865
DIS00052,20250323,ST006,Silver,2025-03-23 08:24:00,2025-03-23 10:10:00,Staff shortage,Operations,Minor delay,106,2117
DIS00053,20250324,ST002,Blue,2025-03-24 07:29:00,2025-03-24 07:37:00,Track obstruction,Infrastructure,Moderate delay,8,309
DIS00054,20250325,ST008,Red,2025-03-25 12:38:00,2025-03-25 18:21:00,Planned engineering overrun,Engineering,Minor delay,343,6517
DIS00055,20250326,ST002,Blue,2025-03-26 14:31:00,2025-03-26 19:51:00,Rolling stock fault,Fleet,Severe delay,320,8136
DIS00056,20250327,ST013,Silver,2025-03-27 13:10:00,2025-03-27 14:13:00,Police attendance,External,Minor delay,63,915
DIS00057,20250403,ST010,Blue / Gold,2025-04-03 06:47:00,2025-04-03 13:59:00,Signal failure,Infrastructure,Minor delay,432,13670
DIS00058,20250404,ST009,Blue,2025-04-04 16:47:00,2025-04-04 22:27:00,Track obstruction,Infrastructure,Minor delay,340,6383
DIS00059,20250405,ST013,Silver,2025-04-05 22:42:00,2025-04-05 23:20:00,Severe weather,Weather,Moderate delay,38,524
DIS00060,20250406,ST008,Red,2025-04-06 22:20:00,2025-04-06 23:23:00,Planned engineering overrun,Engineering,Moderate delay,63,1765
DIS00061,20250406,ST003,Green / Red,2025-04-06 17:14:00,2025-04-06 18:15:00,Rolling stock fault,Fleet,Severe delay,61,1353
DIS00062,20250411,ST004,Green,2025-04-11 11:36:00,2025-04-11 12:39:00,Police attendance,External,Minor delay,63,1213
DIS00063,20250412,ST001,Blue / Red,2025-04-12 22:13:00,2025-04-12 23:00:00,Rolling stock fault,Fleet,Moderate delay,47,1975
DIS00064,20250413,ST003,Green / Red,2025-04-13 16:17:00,2025-04-13 17:30:00,Planned engineering overrun,Engineering,Minor delay,73,2453
DIS00065,20250415,ST009,Blue,2025-04-15 11:08:00,2025-04-15 12:32:00,Severe weather,Weather,Moderate delay,84,1944
DIS00066,20250417,ST001,Blue / Red,2025-04-17 18:50:00,2025-04-17 20:17:00,Power supply restriction,Infrastructure,Minor delay,87,5408
DIS00067,20250418,ST009,Blue,2025-04-18 19:19:00,2025-04-18 21:04:00,Rolling stock fault,Fleet,Severe delay,105,2130
DIS00068,20250419,ST003,Green / Red,2025-04-19 11:27:00,2025-04-19 11:47:00,Track obstruction,Infrastructure,Severe delay,20,724
